X,西药
X01,抗微生物药物
X01.1,抗生素类
X01.1.1,青霉素类
X01.1.1.1,窄谱青霉素
X01.1.1.2,耐青霉素酶青霉素及酶抑制剂
X01.1.1.3,广谱青霉素及复方制剂
X01.1.2,头孢菌素
X01.1.2.1,第一代头孢菌素
X01.1.2.1.1,口服用
X01.1.2.1.2,注射用
X01.1.2.2,第二代头孢菌素
X01.1.2.2.1,口服用
X01.1.2.2.2,注射用
X01.1.2.3,第三代头孢菌素
X01.1.2.3.1,口服用
X01.1.2.3.2,注射用
X01.1.2.4,第四代头孢菌素
X01.1.3,碳青霉烯类
X01.1.4,氨基糖苷类
X01.1.5,酰胺醇类
X01.1.6,四环素类
X01.1.7,大环内酯类
X01.1.8,糖肽类
X01.1.9,林可酰胺类
X01.1.10,其他
X01.2,合成抗菌药
X01.2.1,磺胺类
X01.2.2,喹诺酮类
X01.2.3,硝基咪唑类
X01.2.4,硝基呋喃类
X01.3,抗分枝杆菌药
X01.3.1,抗结核病类
X01.3.2,抗麻风病类
X01.4,抗真菌药
X01.4.1,吡咯类
X01.4.1.1,咪唑类
X01.4.1.2,三唑类
X01.4.2,多烯类
X01.4.3,丙烯胺类
X01.4.4,其他
X01.5,抗病毒药
X01.5.1,广谱类
X01.5.2,核苷类逆转录酶抑制剂
X01.5.3,非核苷类逆转录酶抑制剂
X01.5.4,蛋白酶抑制剂
X01.6,其他
X02,抗寄生虫病药
X02.1,抗吸虫病药
X02.2,抗疟药
X02.3,驱肠虫药
X02.4,抗丝虫病及抗黑热病药
X02.5,抗阿米巴病药及抗滴虫病药
X03,解热镇痛及非甾体抗炎药
X03.1,解热镇痛及非甾体抗炎药
X03.2,抗痛风药
X04,镇痛药
X05,麻醉用药物
X05.1,全身麻醉药
X05.1.1,吸入麻醉药
X05.1.2,静脉麻醉药
X05.2,局部麻醉药
X05.3,麻醉辅助药
X05.3.1,肌肉松弛药
X05.3.2,其他
X06,维生素及矿物质缺乏症用药物
X06.1,维生素类
X06.2,矿物质类
X07,营养治疗药
X07.1,肠外营养药
X07.1.1,氨基酸类
X07.1.2,脂肪乳剂
X07.2,肠内营养药
X08,激素及调节内分泌功能药
X08.1,下丘脑垂体激素及其类似物
X08.2,肾上腺皮质激素类
X08.3,雄激素、抗雄激素及同化激素类
X08.4,雌激素、抗雌激素、孕激素及抗孕激素类
X08.4.1,雌激素及抗雌激素类
X08.4.2,孕激素及抗孕激素类
X08.5,胰岛素及其他影响血糖的药物
X08.5.1,胰岛素
X08.5.2,口服降糖药
X08.5.2.1,磺酰脲类
X08.5.2.2,双胍类
X08.5.2.3,α-葡糖苷酶抑制药
X08.5.2.4,胰岛素增敏药
X08.6,甲状腺激素及抗甲状腺药
X08.6.1,甲状腺激素类
X08.6.2,抗甲状腺药
X08.7,甲状旁腺及钙代谢调节药
X08.8,其他激素及调节内分泌功能药
X09,调节免疫功能药
X09.1,免疫抑制药
X09.2,生物反应调节药
X10,抗肿瘤药物
X10.1,细胞毒药物
X10.1.1,作用于DNA化学结构的药物
X10.1.2,影响核酸合成的药物
X10.1.3,作用于核酸转录的药物
